,Id,Symbol,Name,Image,Current_Price,Market_Cap,Market_Cap_Rank,Fully_Diluted_Valuation,Total_Volume,High_24H,Low_24H,Price_Change_24H,Price_Change_Percentage_24H,Market_Cap_Change_24H,Market_Cap_Change_Percentage_24H,Circulating_Supply,Total_Supply,Max_Supply,Ath,Ath_Change_Percentage,Ath_Date,Atl,Atl_Change_Percentage,Atl_Date,Roi,Last_Updated,MarketID
14,filecoin,fil,Filecoin,https://assets.coingecko.com/coins/images/12817/large/filecoin.png?1602753933,163.47,10852174112,15,323989935936.0,1833378153.0,180.8,160.86,-12.79807309,-7.26076,-751762028.1392555,-6.47851,66261418.0,1978224119.0,1978224119.0,236.84,-30.84767,2021-04-01T13:29:41.564Z,20.06,716.47001,2020-12-29T22:32:28.483Z,,2021-04-12T21:24:43.812Z,41
15,tron,trx,TRON,https://assets.coingecko.com/coins/images/1094/large/tron-logo.png?1547035066,0.135504,9717103257,16,,6670696869.0,0.137221,0.121655,0.01211537,9.81884,882187595.0,9.98524,71660220128.0,100850743812.0,,0.231673,-41.4693,2018-01-05T00:00:00.000Z,0.00180434,7415.18904,2017-11-12T00:00:00.000Z,"{'times': 70.31812823919805, 'currency': 'usd', 'percentage': 7031.812823919805}",2021-04-12T21:23:52.930Z,86
16,dogecoin,doge,Dogecoin,https://assets.coingecko.com/coins/images/5/large/dogecoin.png?1547792256,0.07076,9137836949,17,,3258407248.0,0.077781,0.069456,-0.00532982,-7.00465,-628226994.0044575,-6.43276,129155074829.053,,,0.083947,-15.7199,2021-02-08T15:22:32.047Z,8.69e-05,81312.92824,2015-05-06T00:00:00.000Z,,2021-04-12T21:24:07.110Z,33
17,wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://assets.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1548822744,60099.0,8770376960,18,8770376960.0,374130890.0,61073.0,59466.0,466.62,0.78249,70795103.0,0.81378,145850.78290737,145850.78290737,145850.78290737,61664.0,-2.48356,2021-03-13T20:49:38.884Z,3139.17,1815.55316,2019-04-02T00:00:00.000Z,,2021-04-12T21:25:21.351Z,96
18,vechain,vet,VeChain,https://assets.coingecko.com/coins/images/1167/large/VeChain-Logo-768x725.png?1547035194,0.132554,8635173044,19,,1356373630.0,0.144151,0.129033,-0.01008021,-7.0672,-671619887.1267757,-7.21645,64968961033.0,86712634466.0,,0.149577,-11.14136,2021-04-10T15:04:55.866Z,0.00191713,6832.86593,2020-03-13T02:29:59.652Z,"{'times': 20.591844324410456, 'currency': 'eth', 'percentage': 2059.184432441046}",2021-04-12T21:23:49.946Z,93
19,solana,sol,Solana,https://assets.coingecko.com/coins/images/4128/large/coinmarketcap-solana-200.png?1616489452,27.72,7498140319,20,13568762141.0,373315967.0,29.77,27.01,-0.66825265,-2.35419,-163573505.82317543,-2.13495,270018801.064853,488630611.0,488630611.0,29.77,-6.82334,2021-04-12T01:54:49.731Z,0.500801,5439.04486,2020-05-11T19:35:23.449Z,,2021-04-12T21:23:44.585Z,82
20,okb,okb,OKB,https://assets.coingecko.com/coins/images/4463/large/okb_token.png?1548386209,23.2,6277056072,21,,614345941.0,24.56,21.34,1.69,7.86867,481430816.0,8.3068,269444872.26,300000000.0,,24.56,-5.16463,2021-04-12T05:00:27.307Z,0.580608,3912.38938,2019-01-14T00:00:00.000Z,,2021-04-12T21:25:03.596Z,70
21,eos,eos,EOS,https://assets.coingecko.com/coins/images/738/large/eos-eos-logo.png?1547034481,6.49,6211218615,22,,3254239858.0,6.84,6.36,-0.17985692,-2.69545,-169436101.25266936,-2.65547,955446124.0555,,,22.71,-71.37611,2018-04-29T07:50:33.540Z,0.5024,1193.95919,2017-10-23T00:00:00.000Z,"{'times': 5.558329394028401, 'currency': 'usd', 'percentage': 555.8329394028401}",2021-04-12T21:23:44.600Z,37
22,monero,xmr,Monero,https://assets.coingecko.com/coins/images/69/large/monero_logo.png?1547033729,317.6,5689673401,23,,937148929.0,342.77,318.17,-7.69372055,-2.36514,-88556490.28994465,-1.53259,17882526.5191851,,,542.33,-41.33238,2018-01-09T00:00:00.000Z,0.216177,147080.296,2015-01-14T00:00:00.000Z,,2021-04-12T21:24:25.185Z,100
23,terra-luna,luna,Terra,https://assets.coingecko.com/coins/images/8284/large/luna1557227471663.png?1567147072,14.78,5652913492,24,,270109203.0,15.29,14.46,-0.42721925,-2.80887,-145893911.1555252,-2.51593,381950691.628405,958508247.327121,,22.36,-33.80108,2021-03-21T11:59:15.174Z,0.121798,12051.34349,2020-03-18T17:03:01.083Z,,2021-04-12T21:24:40.568Z,61
