Date,WeightedPrice,Volume,SMA_30,EMA_40,Altcoin_EMA_40,DASH,DOGE,ETC,ETH,LTC,SC,XEM,XMR,XRP,ZEC,Day_of_Week,CLF,DJI,GCF,GSPC,IXIC,TSLA,Cost_per_TR,Num_TR_per_Block,Bu_Be_Spread_MA8
2017-07-03,2531.13175239775,33853.33427654,2628.112142508608,2444.145420495161,77.02736868849452,177.094227263597,0.0024551977998258177,17.25401643920479,279.92965557163336,45.37413086881808,0.013389686970184098,0.1652829034315731,43.346466533289764,0.2512148264254767,288.38350906805425,Monday,45.1300010681,21479.26953125,1220.4000244141,2429.0100097656,6110.0600585938,70.5240020752,24.3558346879,1489.67058824,0.005069089285714281
2017-07-04,2589.339016526083,21683.50525748,2630.490709547367,2451.228034935694,77.25325108505169,181.69808762545185,0.0025116588460303005,17.450772621707042,278.37530632344027,49.34029514753732,0.013749390177753501,0.18438683136682238,44.36366323794468,0.25427309142286136,293.7254776679905,Tuesday,45.1300010681,21479.26953125,1220.4000244141,2429.0100097656,6110.0600585938,70.5240020752,24.3558346879,1489.67058824,0.005069089285714281
2017-07-05,2562.3246348344164,26483.84077604,2629.2707186366806,2456.647381272217,77.41582111493129,197.33194837705403,0.0025623246348344163,17.206445518101027,261.5009616581101,52.213642130106585,0.01281162317417208,0.1767235300645297,45.869556943473704,0.2493654334620854,275.0128937782288,Wednesday,45.1300010681,21478.169921875,1220.4000244141,2432.5400390625,6150.8598632812,65.4179992676,23.0781398078,1590.65771812,0.0040691964285714055
2017-07-06,2581.855275166083,20088.896671770002,2621.7893517937723,2462.755083413381,77.69400859266217,213.43861918612237,0.002659310933421066,17.295022294649538,265.74463175413405,50.70133787739047,0.01241872387354886,0.168233689729822,48.25069248730833,0.2482970218127222,283.05971506427164,Thursday,45.5200004578,21320.0390625,1222.1999511719,2409.75,6089.4599609375,61.7659988403,23.3803352489,1585.25352113,0.0035692499999999683
2017-07-07,2532.9397002944165,29466.47365633,2613.4007949299753,2466.178723261236,77.70849318224346,197.0077438914092,0.002456951509285584,16.790046732547594,250.466348124415,47.3565751892175,0.010613017344233604,0.16025909483762774,47.09355473073892,0.23840028459171048,265.5883274173337,Friday,44.2299995422,21414.33984375,1208.5999755859,2425.1799316406,6153.080078125,62.6440010071,21.8591803546,1646.0405405405,0.005177946428571397
2017-07-08,2511.1515697410837,22155.92050255,2605.5382080763443,2468.372520650497,77.58319087450835,199.2045815013893,0.002285147928464386,15.691005918074255,240.15126832849322,48.208560494059675,0.009667933543503173,0.15192466996933557,43.85048205628973,0.22326648606567975,243.96841960662522,Saturday,44.2299995422,21414.33984375,1208.5999755859,2425.1799316406,6153.080078125,62.6440010071,21.8591803546,1646.0405405405,0.005177946428571397
2017-07-09,2533.8859298227503,15324.15507633,2595.6760724764913,2471.5682967076796,77.55345479631366,202.72382254292143,0.0023311750554369302,16.195712003351584,243.30993500210855,50.08532140492174,0.010490287749466186,0.15517517434234523,45.83315674836759,0.23324419984018416,253.67172939607343,Sunday,44.2299995422,21414.33984375,1208.5999755859,2425.1799316406,6153.080078125,62.6440010071,21.8591803546,1646.0405405405,0.005177946428571397
2017-07-10,2426.840974769417,48428.66067627999,2581.3621784790835,2469.3864761253253,77.12377755469035,185.17036894747153,0.002014278009058616,15.386220316857598,218.1691206862109,46.37583894940491,0.008275527723963711,0.13932494036151222,42.3108075114369,0.20157341136434778,219.42925786235998,Monday,44.4000015259,21408.51953125,1212.0999755859,2427.4299316406,6176.3901367188,63.2099990845,26.2101387153,1277.7766497462,0.010004035714285684
2017-07-11,2359.2947935377497,56035.06091773001,2563.163282895119,2464.016150145443,76.32595022960837,164.251602673617,0.0018166569910240673,14.032873095431116,195.0790685709507,44.364792714330164,0.006865547849194852,0.12315518822267052,37.89100576560226,0.17442266408624585,185.20935988230042,Tuesday,45.0400009155,21409.0703125,1213.5999755859,2425.5300292969,6193.2998046875,65.4440002441,21.1347640712,1536.17919075,0.011612732142857114
2017-07-12,2350.652415838333,40121.59138138,2549.8546586343414,2458.4862118865594,75.73476775485574,173.38889401663963,0.0017864958360371333,17.39327644660921,207.44453504767728,46.039878216609594,0.007592607303157816,0.12611250210972658,38.69801500664925,0.18454972116746754,196.78717063127357,Wednesday,45.4900016785,21532.140625,1218.0999755859,2443.25,6261.169921875,65.9039993286,22.5907671119,1452.75706215,0.013221428571428544
2017-07-13,2364.9504717100003,31904.046392909997,2538.4274046920177,2453.923492853556,75.19693133855141,173.07097768801614,0.0018446613679338004,17.994860840231958,208.29705686116492,45.679940691762624,0.008088130613248201,0.12758907794875451,38.81517530802529,0.19721321983589693,200.69087950454647,Thursday,46.0800018311,21553.08984375,1216.3000488281,2447.830078125,6274.4399414062,64.6819992065,20.9174868912,1566.2101910828,0.014830124999999972
2017-07-14,2262.3876922383333,39483.17517678,2526.9686500433045,2444.5802830674475,74.43195857586905,162.73037935993418,0.0016741668922563666,16.918451896835172,194.4588056960692,42.82941976890235,0.007149145107473134,0.11615098411951603,36.20030709636711,0.18117200639444575,178.07255787995612,Friday,46.5400009155,21637.740234375,1226.5999755859,2459.2700195312,6312.4702148438,65.5559997559,18.7740093079,1639.58992806,0.016048035714285702
2017-07-15,2067.8384513250003,65536.89740123,2516.087357198592,2426.2026327385474,73.48740423158846,147.80113132267343,0.0015302004539805001,15.444954211945099,183.42827153308858,39.53004053859949,0.00651369112167375,0.11170463314057652,33.07164341711418,0.17584898190067802,165.54521171672422,Saturday,46.5400009155,21637.740234375,1226.5999755859,2459.2700195312,6312.4702148438,65.5559997559,18.7740093079,1639.58992806,0.016048035714285702
2017-07-16,1920.5698538666666,80086.22451473998,2496.750858130823,2401.5376191350406,72.28965838643046,130.15817133845633,0.0013251931991680001,13.942511294034837,152.60037578346203,38.77106219386694,0.005761709561599999,0.09792985684866132,30.041207951608705,0.14602092598948266,153.8556794456478,Sunday,46.5400009155,21637.740234375,1226.5999755859,2459.2700195312,6312.4702148438,65.5559997559,18.7740093079,1639.58992806,0.016048035714285702
2017-07-17,2073.2748773066664,72712.38503852,2479.2446074439995,2385.5248024604857,71.42797035856611,144.6422291427873,0.0014098269165685332,14.928926745278249,173.30318104667467,41.87911588415601,0.006551548612289067,0.11456916971996639,32.738648199825334,0.15941410531610958,171.4757758370678,Monday,46.0200004578,21629.720703125,1232.8000488281,2459.1398925781,6314.4301757812,63.9140014648,19.3552504756,1556.18243243,0.019701767857142893
2017-07-18,2297.4860896800005,77655.50033522,2469.2341576356193,2381.23023110534,71.01094256131597,156.80551633300163,0.0017001397063632004,15.489605266900769,217.64692263866323,43.561025506159716,0.007558729235047202,0.13327716806233683,35.924664216142226,0.17656180599190804,197.34102835738358,Tuesday,46.4000015259,21574.73046875,1241.0999755859,2460.6101074219,6344.3100585938,65.6480026245,20.3632828846,1579.24242424,0.020919678571428624
2017-07-19,2316.1133912933333,53214.5884641,2459.6830928057952,2378.053799894998,70.65001121943624,162.90436808269658,0.0017602461773829335,15.242411711503165,216.64468387819755,42.151364508557805,0.007712657593006799,0.13120782361676733,36.26276201686407,0.1735695375435224,201.86584226196175,Wednesday,47.1199989319,21640.75,1241.1999511719,2473.830078125,6385.0400390625,65.0520019531,18.7766236626,1703.1409395973,0.022137589285714354
2017-07-20,2577.6257634166664,101212.75846408,2456.043691117304,2387.789017627762,70.50426733196467,192.3261954238421,0.001830114292025833,15.55231125363553,221.67622807395546,43.13507212783513,0.008145297412396666,0.14365108379521083,38.590202381778866,0.180794671046045,206.79755353733125,Thursday,46.7900009155,21611.779296875,1244.8000488281,2473.4499511719,6390.0,65.9840011597,28.3811205289,1420.98148148,0.023355500000000085
2017-07-21,2730.57486782,66286.35966044,2456.8139791803137,2404.510278612749,70.4229647324732,191.2343363573451,0.0019114024074739998,16.51328804188484,224.39667662354276,46.00472537303135,0.0089016740690932,0.1457034749468752,40.67456131380068,0.1879454681520506,210.6513996309157,Friday,45.7700004578,21580.0703125,1254.3000488281,2472.5400390625,6387.75,65.6800003052,21.7292934868,1743.13636364,0.025989535714285788
2017-07-22,2799.569194483333,45330.81057545,2460.5442234553234,2423.7814452405823,70.38438939244797,194.0156043376242,0.0019876941280831664,16.497609301862777,226.82411967176967,46.01747070324867,0.009910474948470999,0.16223503482030915,42.4568106275531,0.19188247258988764,211.7883054248064,Saturday,45.7700004578,21580.0703125,1254.3000488281,2472.5400390625,6387.75,65.6800003052,21.7292934868,1743.13636364,0.025989535714285788
2017-07-23,2767.4001600983333,38006.85930854,2462.159280320388,2440.543333770229,70.36567984320313,193.0577648766871,0.002047876118472767,16.220313492369954,227.9789786689327,45.26509141465479,0.010101010584358918,0.17088695988607208,43.11086410802945,0.19726028341180918,215.8852739252934,Sunday,45.7700004578,21580.0703125,1254.3000488281,2472.5400390625,6387.75,65.6800003052,21.7292934868,1743.13636364,0.025989535714285788
2017-07-24,2761.633511671667,30238.732498600002,2466.263937408509,2456.206269277616,70.3959879520971,208.52611360768213,0.0019883761284036003,16.039954064480675,227.32612705273283,45.08399847406137,0.010825603365752933,0.16691312944543554,44.363322592855525,0.1935076601628337,210.70683751017367,Monday,46.3400001526,21513.169921875,1253.9000244141,2469.9099121094,6410.8100585938,68.5039978027,27.4178394023,1348.71910112,0.033891642857142905
2017-07-25,2595.580044036666,78379.46744439,2466.964563736073,2463.0049899975693,70.14373053126948,196.1728236288723,0.0017909502303852997,14.811210316887308,206.28377591141495,42.30333458531927,0.009214309156330164,0.1594464821051724,41.03401807638402,0.1760322385865667,190.6760080348132,Tuesday,47.8899993896,21613.4296875,1251.6999511719,2477.1298828125,6412.169921875,67.9199981689,22.1030092629,1648.8918918919,0.036525678571428605
2017-07-26,2501.86078219,52278.79722808,2467.8963642409713,2464.900394494761,69.83966761764782,191.9091342007042,0.0017012653318892001,14.443067165328117,199.75284303198714,41.68960703237614,0.0084062522281584,0.15391447532032881,44.62869300486165,0.16830017481792128,185.40634769285157,Wednesday,48.75,21711.009765625,1249.0,2477.830078125,6422.75,68.7699966431,21.0323989655,1618.04761905,0.03915971428571431
2017-07-27,2585.0692305683333,37190.706252359996,2472.4658585518137,2470.762288937374,69.59084884692086,195.00113001238407,0.0017578470767864668,14.469821615337024,202.2880524129716,41.685146117145074,0.008401474999347083,0.1672022778331598,45.32440657993917,0.17237241629429648,187.73959299164068,Thursday,49.0400009155,21796.55078125,1259.5999755859,2475.419921875,6382.1899414062,66.891998291,24.5681537469,1463.43506494,0.04179375000000002
