Date,WeightedPrice,Volume,SMA_30,EMA_40,Altcoin_EMA_40,DASH,DOGE,ETC,ETH,LTC,SC,XEM,XMR,XRP,ZEC,Day_of_Week
2016-03-05,400.1217332821666,74067.84552072002,409.28562284125195,412.07099459723776,1.6557566890246735,4.978182565324734,0.00022006695330519164,1.002187644254237,11.183002323503274,3.13887497325194,7.202191199078998e-05,0.0006682032945812183,1.2370843713098043,0.007742355539009923,48.09675945924408,Saturday
2016-03-06,404.9214018356666,29768.68122267,409.7790596397142,411.7222339747221,1.6967812675245084,4.816928799381016,0.00021460834297290328,1.002187644254237,10.820836097675068,3.1848809416403068,9.718113644056e-05,0.0009677621503872432,1.1425181289914803,0.0076408668526390285,48.09675945924408,Sunday
2016-03-07,410.4127461093333,26283.37480964,410.83873447343854,411.65835651787387,1.7290800474060273,4.482056038348113,0.00022162288289903997,1.002187644254237,10.104337184447019,3.219236539206999,0.00010670731398842666,0.0014856941409157865,1.0560330370139255,0.0077732174113107734,48.09675945924408,Monday
2016-03-08,413.6298695573333,18741.98769,412.0524779215697,411.75452788565235,1.7563808969907897,4.364684428049414,0.00021922383086538664,1.002187644254237,9.574212000968378,3.249012989788506,9.099857130261333e-05,0.0016007475951868798,1.1123003548240162,0.007858967521589332,48.09675945924408,Tuesday
2016-03-09,411.85953138100007,16883.98768477,413.2632276492364,411.7596500073766,1.7923445338136752,4.589844989616141,0.00022240414694574005,1.002187644254237,10.949075593402883,3.2370017496983423,9.060909690382002e-05,0.0013055947144777703,1.1635937852482292,0.0079488889556533,48.09675945924408,Wednesday
2016-03-10,415.8496434045,26441.35071451,414.6153158002731,411.959161880407,1.8330530276151855,4.9627870708572095,0.00023703429674056502,1.002187644254237,11.585392249902705,3.268099970069455,9.5645417983035e-05,0.001409730291141255,1.1887810586075762,0.008146494514294155,48.09675945924408,Thursday
2016-03-11,420.92016373449997,25153.200648079997,415.9907784084097,412.3962839220701,1.8700563290227008,5.165241814436807,0.000239924493328665,1.002187644254237,11.07492303045445,3.372062988104914,0.00010523004093362499,0.0013553629272250898,1.1100843294137221,0.008952971882632815,48.09675945924408,Friday
2016-03-12,415.8972408418333,28450.5166724,417.2247009658508,412.5670623084,1.9168959004107495,5.237248389886912,0.00023290245487142666,1.002187644254237,12.977017021477671,3.2808344971876613,0.00010813328261887666,0.001359983977552795,1.1368675847583767,0.008471826795948144,48.09675945924408,Saturday
2016-03-13,414.7377771498334,15093.115856020002,418.35418687329854,412.67295083725037,1.9740227325561377,5.730564582967936,0.00023640053297540505,1.002187644254237,14.496238282407155,3.274350603220163,9.953706651596002e-05,0.0013188661313364703,1.1927194890385768,0.00843991376499911,48.09675945924408,Sunday
2016-03-14,415.21496551933336,19465.65005634,419.205604369443,412.7969515534495,2.0192993188323465,5.561484747608021,0.00024082468000121338,1.002187644254237,13.195199432231998,3.2902879512648537,9.549944206944667e-05,0.0012622534951787735,1.1606213280686062,0.008349972956593793,48.09675945924408,Monday
2016-03-15,417.59345241233336,17617.50680916,419.7896661528008,413.0309272051024,2.0592088484870685,5.590983345098718,0.00022967639882678337,1.002187644254237,12.63801066039614,3.3246744473153163,9.604649405483667e-05,0.0012235488155681368,1.136234200603242,0.00810548891132339,48.09675945924408,Tuesday
2016-03-16,418.11887028966675,15312.49929368,420.26563383220304,413.27911955069084,2.104781150575882,6.213576726411977,0.0002299653786593167,1.002187644254237,13.258214881789101,3.3043808883331276,9.616734016662335e-05,0.0011623704594052736,1.1617140127789187,0.008153317970648501,48.09675945924408,Wednesday
2016-03-17,423.3978699089999,15899.89121686,420.8448458213697,413.7727171291449,2.136538161912421,6.055051043376899,0.00022440087105176994,1.002187644254237,11.447979795854007,3.3244396289301847,0.00010161548877815999,0.0012447897375324599,1.209093063120432,0.008264726420623678,48.09675945924408,Thursday
2016-03-18,414.15146888649997,36033.99075042,420.78219895795974,413.7911928246256,2.1548275402472314,5.858996688822626,0.00021121724913211498,1.002187644254237,9.816172558886244,3.2139147949117723,0.00013252847004368,0.001230029862592905,1.1930958345976068,0.00800968940826491,48.09675945924408,Friday
2016-03-19,411.03149518516665,15356.53040452,420.4666903940119,413.65657342757885,2.1778038217318274,5.958592055620901,0.00021373637749628666,1.002187644254237,10.63644696507939,3.1901798467301523,0.00013153007845925332,0.0012659770051703133,1.2119633563880305,0.007937018172025568,48.09675945924408,Saturday
2016-03-20,412.91767641350003,10705.75387007,420.24563616652193,413.6205296707945,2.197861090454796,5.981773211131809,0.00021058801497088502,1.002187644254237,10.164080092690936,3.1824969241288255,0.00014865036350886,0.001242882206004635,1.3739794390891573,0.007890856796261987,48.09675945924408,Sunday
2016-03-21,413.1414578656666,15132.209619510002,419.5556856123775,413.59716031444674,2.225679634381626,6.205694553235713,0.00021070214351148997,1.002187644254237,11.279852493181464,3.1930794367230066,0.00013633668109567,0.0012352929590183433,1.4569764024799026,0.007944710234756769,48.09675945924408,Monday
