,Id,Symbol,Name,Image,Current_Price,Market_Cap,Market_Cap_Rank,Fully_Diluted_Valuation,Total_Volume,High_24H,Low_24H,Price_Change_24H,Price_Change_Percentage_24H,Market_Cap_Change_24H,Market_Cap_Change_Percentage_24H,Circulating_Supply,Total_Supply,Max_Supply,Ath,Ath_Change_Percentage,Ath_Date,Atl,Atl_Change_Percentage,Atl_Date,Roi,Last_Updated,MarketID
14,solana,sol,Solana,https://assets.coingecko.com/coins/images/4128/large/coinmarketcap-solana-200.png?1616489452,34.2,9338761238,15,16899584136.0,2423125721,41.01,33.28,-3.06770374,-8.23087,-700278811.02071,-6.97556,270018751.530061,488630611.0,488630611.0,41.01,-13.31582,2021-04-23T00:20:00.028Z,0.500801,6998.42612,2020-05-11T19:35:23.449Z,,2021-04-23T06:41:53.342Z,81
15,stellar,xlm,Stellar,https://assets.coingecko.com/coins/images/100/large/Stellar_symbol_black_RGB.png?1552356157,0.398757,9085063977,16,,2130366136,0.510697,0.391962,-0.09319698,-18.94425,-2186709171.797014,-19.39987,22900383215.0066,50000000000.0,,0.875563,-54.4571,2018-01-03T00:00:00.000Z,0.00047612,83650.72944,2015-03-05T00:00:00.000Z,,2021-04-23T06:40:01.084Z,98
16,filecoin,fil,Filecoin,https://assets.coingecko.com/coins/images/12817/large/filecoin.png?1602753933,132.19,8943960681,17,261290424478.0,1632097894,156.7,131.78,-17.19080168,-11.50798,-1163120599.0414925,-11.50798,67659474.0,1976615653.0,1976615653.0,236.84,-43.96305,2021-04-01T13:29:41.564Z,20.06,561.61894,2020-12-29T22:32:28.483Z,,2021-04-23T06:39:16.842Z,40
17,theta-token,theta,Theta Network,https://assets.coingecko.com/coins/images/2538/large/theta-token-logo.png?1548387191,8.37,8383627427,18,,920847735,11.26,8.1,-2.85567781,-25.44918,-2828720814.617672,-25.22862,1000000000.0,1000000000.0,,15.72,-46.66808,2021-04-16T13:15:11.190Z,0.04039979,20651.65854,2020-03-13T02:24:16.483Z,"{'times': 54.76946578033697, 'currency': 'usd', 'percentage': 5476.946578033698}",2021-04-23T06:41:23.158Z,84
18,wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://assets.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1548822744,49025.0,7637880903,19,7637880903.0,686962650,55260.0,48934.0,-5600.28296429,-10.25216,-772627213.7123184,-9.18645,156086.72486111,156086.72486111,156086.72486111,64565.0,-24.06883,2021-04-14T12:00:05.340Z,3139.17,1461.72126,2019-04-02T00:00:00.000Z,,2021-04-23T06:41:07.123Z,94
19,binance-usd,busd,Binance USD,https://assets.coingecko.com/coins/images/9576/large/BUSD.png?1568947766,0.997193,6979036173,20,,11449901599,1.01,0.97483,-0.00113266,-0.11346,-191894462.2203512,-2.676,7013973631.33,7013973631.33,,1.15,-13.61181,2020-03-13T02:35:42.953Z,0.906729,9.96626,2020-03-12T23:35:12.774Z,,2021-04-23T06:41:52.707Z,16
20,tron,trx,TRON,https://assets.coingecko.com/coins/images/1094/large/tron-logo.png?1547035066,0.093546,6703500852,21,,4904521380,0.129584,0.093301,-0.03111161,-24.95772,-2221447034.7702103,-24.89031,71660220128.0,100850743812.0,,0.231673,-59.62165,2018-01-05T00:00:00.000Z,0.00180434,5084.47471,2017-11-12T00:00:00.000Z,"{'times': 48.234545145034524, 'currency': 'usd', 'percentage': 4823.454514503453}",2021-04-23T06:40:21.289Z,85
21,monero,xmr,Monero,https://assets.coingecko.com/coins/images/69/large/monero_logo.png?1547033729,317.49,5680864961,22,,1034291209,389.82,311.5,-68.74566121,-17.79909,-1239409219.285633,-17.90983,17893300.1389306,,,542.33,-41.45848,2018-01-09T00:00:00.000Z,0.216177,146763.95893,2015-01-14T00:00:00.000Z,,2021-04-23T06:39:52.715Z,99
22,neo,neo,NEO,https://assets.coingecko.com/coins/images/480/large/NEO_512_512.png?1594357361,77.52,5467427030,23,,3113887617,103.98,75.93,-19.78819292,-20.33576,-1390741199.873909,-20.27861,70530000.0,100000000.0,,198.38,-60.92417,2018-01-15T00:00:00.000Z,0.078349,98840.34871,2016-10-21T00:00:00.000Z,"{'times': 2152.3102659778738, 'currency': 'usd', 'percentage': 215231.02659778736}",2021-04-23T06:39:58.642Z,68
23,terra-luna,luna,Terra,https://assets.coingecko.com/coins/images/8284/large/luna1557227471663.png?1567147072,13.01,4881478182,24,,892185968,15.54,12.96,-0.79404927,-5.75195,-331150189.91053677,-6.35284,376703378.757532,957054123.395998,,22.36,-41.80433,2021-03-21T11:59:15.174Z,0.121798,10582.28359,2020-03-18T17:03:01.083Z,,2021-04-23T06:40:59.089Z,60
24,eos,eos,EOS,https://assets.coingecko.com/coins/images/738/large/eos-eos-logo.png?1547034481,5.03,4788109271,25,,6429524671,6.78,4.77,-1.40933162,-21.88977,-1358263581.0668926,-22.09862,956023914.2997,,,22.71,-77.94773,2018-04-29T07:50:33.540Z,0.5024,896.88546,2017-10-23T00:00:00.000Z,"{'times': 4.079778233872809, 'currency': 'usd', 'percentage': 407.9778233872809}",2021-04-23T06:41:52.566Z,36
25,iota,miota,IOTA,https://assets.coingecko.com/coins/images/692/large/IOTA_Swirl.png?1604238557,1.62,4489181409,26,,376865825,2.15,1.63,-0.51697338,-24.2476,-1433359942.6488504,-24.20177,2779530283.277761,2779530283.0,,5.25,-69.22929,2017-12-19T00:00:00.000Z,0.081637,1878.36639,2020-03-13T02:22:41.168Z,"{'times': 23.598154009243178, 'currency': 'btc', 'percentage': 2359.815400924318}",2021-04-23T06:39:38.736Z,64
26,compound-usd-coin,cusdc,cUSDC,https://assets.coingecko.com/coins/images/9442/large/Compound_USDC.png?1567581577,0.0219652,4445472275,28,,12792135,0.02260147,0.02154908,-2.28e-06,-0.01039,-21779476.42001343,-0.48754,203202819081.008,203202819081.008,,0.058843,-62.82105,2020-10-21T11:24:27.820Z,0.00620705,252.45963,2021-03-04T08:11:37.438Z,,2021-04-23T06:41:14.842Z,26
27,klay-token,klay,Klaytn,https://assets.coingecko.com/coins/images/9672/large/CjbT82vP_400x400.jpg?1570548320,1.81,4438440957,27,,158149939,2.57,1.68,-0.71059049,-28.1727,-1765827412.1481836,-28.46149,2457071263.2,,,4.34,-57.55198,2021-03-30T03:44:28.828Z,0.06044,2947.31186,2020-04-29T08:19:34.574Z,,2021-04-23T06:41:36.371Z,55
28,bitcoin-cash-sv,bsv,Bitcoin SV,https://assets.coingecko.com/coins/images/6799/large/BSV.png?1558947902,229.48,4294203568,29,,2185075225,310.42,215.82,-72.32322722,-23.96404,-1353133486.8930097,-23.96056,18713101.644239,21000000.0,,489.75,-53.14415,2021-04-16T17:09:04.630Z,42.02,446.14854,2018-11-23T00:00:00.000Z,,2021-04-23T06:39:35.656Z,12
29,okb,okb,OKB,https://assets.coingecko.com/coins/images/4463/large/okb_token.png?1548386209,15.31,4125626686,30,,461219875,18.17,15.18,-2.45836524,-13.8344,-679281291.3388228,-14.13724,269444872.26,300000000.0,,24.56,-37.66897,2021-04-12T05:00:27.307Z,0.580608,2537.16311,2019-01-14T00:00:00.000Z,,2021-04-23T06:39:38.739Z,70
30,cosmos,atom,Cosmos,https://assets.coingecko.com/coins/images/1481/large/cosmos_hub.png?1555657960,17.12,4083921417,31,,1279529767,21.44,17.0,-3.0138806,-14.9681,-714392421.9608421,-14.88841,238526146.88641,,,28.32,-39.53943,2021-04-15T00:33:44.560Z,1.16,1375.92486,2020-03-13T02:27:44.591Z,"{'times': 170.2148320125014, 'currency': 'usd', 'percentage': 17021.48320125014}",2021-04-23T06:39:57.074Z,6
31,aave,aave,Aave,https://assets.coingecko.com/coins/images/12645/large/AAVE.png?1601374110,321.78,4020589727,32,5148549533.0,1033528247,411.59,320.98,-60.60351745,-15.8487,-743164043.0993748,-15.60039,12494671.601364398,16000000.0,16000000.0,575.15,-43.50911,2021-02-10T06:12:13.409Z,26.02,1148.54785,2020-11-05T09:20:11.928Z,,2021-04-23T06:41:17.175Z,1
32,compound-ether,ceth,cETH,https://assets.coingecko.com/coins/images/10643/large/ceth2.JPG?1581389598,43.71,3974947495,33,,4468697,52.75,43.64,-5.88550133,-11.86694,-537541301.788393,-11.9123,90774543.7220752,90774543.7220752,,52.75,-16.27281,2021-04-22T16:40:32.149Z,1.89,2241.40305,2020-03-13T02:22:33.711Z,,2021-04-23T06:41:14.742Z,20
33,ftx-token,ftt,FTX Token,https://assets.coingecko.com/coins/images/9026/large/F.png?1609051564,44.34,3908648140,34,15032448382.0,400567588,53.32,44.44,-7.65486653,-14.72221,-667590256.7005038,-14.58819,88150781.97576323,339023118.042991,339023118.042991,59.32,-25.24622,2021-04-14T17:34:57.878Z,1.15,3756.69114,2019-09-06T00:00:00.000Z,,2021-04-23T06:39:35.958Z,42
34,pancakeswap-token,cake,PancakeSwap,https://assets.coingecko.com/coins/images/12632/large/IMG_0440.PNG?1602654093,23.76,3750288622,35,,1177140737,28.27,22.46,-3.61228353,-13.19498,-537050172.2709293,-12.52642,157814481.021854,,,28.79,-15.7144,2021-04-21T13:39:39.970Z,0.194441,12380.55085,2020-11-03T14:29:34.165Z,,2021-04-23T06:41:13.534Z,17
35,crypto-com-chain,cro,Crypto.com Coin,https://assets.coingecko.com/coins/images/7310/large/cypto.png?1547043960,0.147457,3725219537,36,,224128003,0.1969,0.147298,-0.04628347,-23.88936,-1153593984.995707,-23.64497,25263013692.0,30263013692.0,,0.27702,-46.77011,2021-02-22T11:33:57.751Z,0.0121196,1116.686,2019-02-08T00:00:00.000Z,,2021-04-23T06:39:52.075Z,25
36,ethereum-classic,etc,Ethereum Classic,https://assets.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1547034169,28.6,3616519637,37,,6540141426,39.12,28.28,-6.40796963,-18.30244,-809480243.1991577,-18.28921,126435877.27617,210700000.0,,48.24,-40.71152,2021-04-17T04:55:11.710Z,0.615038,4550.70242,2016-07-25T00:00:00.000Z,"{'times': 62.56352703617044, 'currency': 'usd', 'percentage': 6256.352703617044}",2021-04-23T06:39:19.522Z,37
37,bittorrent-2,btt,BitTorrent,https://assets.coingecko.com/coins/images/7595/large/BTT_Token_Graphic.png?1555066995,0.00536578,3536434250,38,,3708830980,0.00797939,0.00482257,-0.00244737,-31.32373,-1607936625.1482167,-31.25623,659071882049.0,990000000000.0,,0.01356626,-60.44763,2021-04-05T04:09:06.433Z,0.00013814,3784.22421,2020-03-13T02:22:57.629Z,"{'times': 43.71482735169828, 'currency': 'usd', 'percentage': 4371.482735169829}",2021-04-23T06:39:28.394Z,15
38,dai,dai,Dai,https://assets.coingecko.com/coins/images/9956/large/dai-multi-collateral-mcd.png?1574218774,1.01,3447883145,39,3447883145.0,908209896,1.01,0.984402,0.00601638,0.60118,-9930101.21759653,-0.28718,3424655359.53711,3424655359.53711,3424655359.53711,1.22,-17.40443,2020-03-13T03:02:50.373Z,0.903243,11.46308,2019-11-25T00:04:18.137Z,,2021-04-23T06:07:59.525Z,27
39,tezos,xtz,Tezos,https://assets.coingecko.com/coins/images/976/large/Tezos-logo.png?1547034862,4.33,3296974539,40,,759694255,5.74,4.25,-1.0646279,-19.74992,-833643779.6849465,-20.18206,767414739.223343,,,7.64,-43.76332,2021-04-17T08:05:22.830Z,0.350476,1125.82135,2018-12-07T00:00:00.000Z,"{'times': 8.204075807211073, 'currency': 'usd', 'percentage': 820.4075807211073}",2021-04-23T06:40:51.366Z,101
40,huobi-token,ht,Huobi Token,https://assets.coingecko.com/coins/images/2822/large/huobi-token-logo.png?1547036992,17.42,3104575170,41,8658168012.0,3988460031,20.49,17.19,-3.07650875,-15.01323,-563106239.1167793,-15.35319,179285916.25441208,500000000.0,500000000.0,26.75,-35.26093,2021-02-20T00:07:23.060Z,0.90862,1805.7845,2019-01-30T00:00:00.000Z,"{'times': 16.591384124573718, 'currency': 'usd', 'percentage': 1659.1384124573717}",2021-04-23T06:41:19.269Z,50
41,cdai,cdai,cDAI,https://assets.coingecko.com/coins/images/9281/large/cDAI.png?1576467585,0.02140393,3044163948,42,,34430311,0.02168657,0.02097995,-1.019e-05,-0.04759,16804995.0,0.5551,142764422254.539,142764422254.539,,0.03159087,-32.5084,2020-10-12T21:29:00.007Z,0.00728854,192.53004,2020-03-18T04:29:40.819Z,,2021-04-23T06:41:14.938Z,18
42,algorand,algo,Algorand,https://assets.coingecko.com/coins/images/4380/large/download.png?1547039725,1.03,2972556825,43,10286099148.0,714626067,1.32,0.992107,-0.25863735,-20.09228,-731388100.7841496,-19.74619,2889877671.09304,10000000000.0,10000000000.0,3.56,-71.11583,2019-06-20T14:51:19.480Z,0.105336,876.50823,2020-03-13T02:20:48.438Z,"{'times': -0.57141253551039, 'currency': 'usd', 'percentage': -57.141253551039}",2021-04-23T06:39:49.256Z,3
43,maker,mkr,Maker,https://assets.coingecko.com/coins/images/1364/large/Mark_Maker.png?1585191826,3299.01,2966483401,44,3308290005.0,1353291415,4921.2,3289.94,-1480.69742124,-30.97884,-1315069928.0714192,-30.71479,901682.5834229622,995238.77131716,1005577.0,4921.2,-33.14754,2021-04-22T07:12:41.260Z,168.36,1854.1396,2020-03-16T20:52:36.527Z,,2021-04-23T06:41:16.732Z,65
44,thorchain,rune,THORChain,https://assets.coingecko.com/coins/images/6595/large/RUNE.png?1614160507,12.24,2841654439,45,6121675289.0,280430992,14.91,12.47,-1.20109062,-8.93373,-278770461.24854565,-8.93373,232097775.9569123,500000000.0,500000000.0,16.76,-26.93519,2021-04-19T01:30:39.985Z,0.00851264,143725.56544,2019-09-28T00:00:00.000Z,"{'times': 321.1934362565663, 'currency': 'usd', 'percentage': 32119.34362565663}",2021-04-23T06:39:22.101Z,77
45,kusama,ksm,Kusama,https://assets.coingecko.com/coins/images/9568/large/m4zRhP5e_400x400.jpg?1576190080,296.3,2688399222,47,2993730357.0,439438751,385.25,288.3,-61.69348883,-17.23319,-524977249.5722008,-16.33725,8980098.074112339,10000000.0,10000000.0,566.41,-46.90182,2021-03-29T12:24:40.358Z,0.876572,34210.26648,2020-01-14T19:20:20.768Z,,2021-04-23T06:41:44.854Z,56
46,avalanche-2,AVAX,Avalanche,https://assets.coingecko.com/coins/images/12559/large/coin-round-red.png?1604021818,20.87,2684657619,46,15025209918.0,348063583,27.59,20.97,-5.6517301,-21.31114,-724392970.9016684,-21.24911,128647353.107066,377752194.4695483,720000000.0,59.4,-64.08477,2021-02-10T22:23:34.616Z,2.8,661.6708,2020-12-31T13:15:21.540Z,,2021-04-23T06:39:42.899Z,7
47,elrond-erd-2,egld,Elrond,https://assets.coingecko.com/coins/images/12335/large/Elrond.png?1599132180,146.69,2574994938,48,,279941866,184.64,146.39,-36.59385465,-19.9658,-633918824.0171962,-19.75493,17554126.0,20397843.0,,243.92,-38.42275,2021-04-12T02:24:35.343Z,6.51,2208.40974,2020-10-07T01:44:53.554Z,,2021-04-23T06:41:01.569Z,34
48,dash,dash,Dash,https://assets.coingecko.com/coins/images/19/large/dash-logo.png?1548385930,247.86,2494989961,49,,1891128457,312.47,244.99,-57.11185977,-18.72707,-586065740.8592529,-19.02159,10091339.190956,18920000.0,,1493.59,-83.40525,2017-12-20T00:00:00.000Z,0.213899,115776.04275,2014-02-14T00:00:00.000Z,,2021-04-23T06:39:59.806Z,28
49,nem,xem,NEM,https://assets.coingecko.com/coins/images/242/large/NEM_Logo_256x256.png?1598687029,0.261818,2347297380,51,,659611435,0.368876,0.235326,-0.1042072,-28.46992,-862128455.614799,-26.86239,8999999999.0,8999999999.0,,1.87,-86.04199,2018-01-07T00:00:00.000Z,8.482e-05,307399.36871,2015-09-05T00:00:00.000Z,,2021-04-23T06:41:09.184Z,97
50,compound-governance-token,comp,Compound,https://assets.coingecko.com/coins/images/10775/large/COMP.png?1592625425,462.77,2338613522,50,4627747898.0,531081365,592.77,465.4,-78.78100603,-14.54716,-399542592.4669523,-14.59167,5053459.206242776,10000000.0,10000000.0,608.21,-23.23613,2021-04-16T13:33:47.509Z,61.32,661.37142,2020-06-18T12:54:32.788Z,,2021-04-23T06:40:06.938Z,24
51,decred,dcr,Decred,https://assets.coingecko.com/coins/images/329/large/decred.png?1547034093,173.39,2222344967,52,,35308957,212.78,174.8,-35.65254412,-17.05493,-456207339.18266344,-17.03186,12851361.8699801,21000000.0,,247.35,-30.08848,2021-04-17T00:41:14.790Z,0.43154,39972.06886,2016-12-26T00:00:00.000Z,,2021-04-23T06:41:07.128Z,29
52,zcash,zec,Zcash,https://assets.coingecko.com/coins/images/486/large/circle-zcash-color.png?1547034197,193.76,2127834503,53,4054793642.0,2136984757,248.06,176.81,-47.28582394,-19.61677,-527165508.7987282,-19.85557,11020172.297723,21000000.0,21000000.0,3191.93,-93.92962,2016-10-29T00:00:00.000Z,19.75,880.89298,2020-03-13T02:20:55.002Z,,2021-04-23T06:40:24.897Z,103
